ID,prob_admiration,prob_amusement,prob_approval,prob_caring,prob_curiosity,prob_excitement,prob_desire,prob_gratitude,prob_joy,prob_love,prob_pride,prob_optimism,prob_relief,prob_anger,prob_annoyance,prob_disappointment,prob_disapproval,prob_disgust,prob_embarrassment,prob_fear,prob_grief,prob_nervousness,prob_remorse,prob_sadness,prob_confusion,prob_realization,prob_surprise,prob_neutral,positive_emotion,negative_emotion,ambiguous_emotion
2629,0.12,0.05,0.08,0.0,0.01,0.02,0.01,0.0,0.11,0.03,0.0,0.01,0.0,0.0,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.43,0.44,0.08,0.47
11028,0.04,0.05,0.07,0.01,0.02,0.01,0.0,0.0,0.08,0.02,0.0,0.02,0.0,0.01,0.04,0.02,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.49,0.32,0.13,0.52
6949,0.11,0.09,0.09,0.0,0.0,0.02,0.0,0.02,0.18,0.05,0.0,0.01,0.0,0.0,0.02,0.03,0.03,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.25,0.57,0.11,0.29
162152,0.14,0.02,0.11,0.0,0.01,0.01,0.01,0.0,0.07,0.02,0.0,0.02,0.0,0.0,0.04,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.35,0.41,0.15,0.41
196379,0.05,0.13,0.06,0.0,0.01,0.01,0.01,0.0,0.13,0.01,0.0,0.01,0.0,0.01,0.06,0.03,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.35,0.42,0.17,0.39
272666,0.12,0.11,0.09,0.0,0.02,0.02,0.01,0.0,0.17,0.06,0.0,0.02,0.01,0.0,0.02,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.02,0.21,0.63,0.09,0.28
390903,0.21,0.02,0.07,0.0,0.01,0.03,0.02,0.0,0.09,0.03,0.0,0.01,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.44,0.49,0.04,0.45
184443,0.21,0.09,0.05,0.0,0.02,0.01,0.0,0.0,0.05,0.05,0.0,0.01,0.0,0.01,0.08,0.03,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.01,0.01,0.21,0.49,0.23,0.27
195179,0.17,0.08,0.11,0.0,0.01,0.01,0.01,0.0,0.15,0.01,0.0,0.02,0.0,0.0,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.3,0.57,0.07,0.33
174618,0.13,0.04,0.05,0.0,0.01,0.01,0.0,0.0,0.13,0.01,0.0,0.03,0.0,0.0,0.03,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.45,0.41,0.11,0.47
52040,0.31,0.04,0.1,0.0,0.01,0.01,0.0,0.01,0.13,0.0,0.0,0.01,0.01,0.0,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.25,0.63,0.06,0.3
9456,0.01,0.14,0.05,0.0,0.02,0.0,0.0,0.0,0.14,0.09,0.0,0.01,0.0,0.0,0.03,0.08,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.05,0.01,0.02,0.0,0.32,0.46,0.18,0.35
332420,0.16,0.03,0.08,0.0,0.01,0.02,0.0,0.0,0.09,0.02,0.0,0.01,0.0,0.0,0.03,0.05,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.42,0.42,0.12,0.44
412268,0.36,0.0,0.1,0.0,0.0,0.01,0.01,0.01,0.02,0.11,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.35,0.63,0.0,0.36
21,0.12,0.05,0.12,0.0,0.01,0.02,0.0,0.0,0.05,0.0,0.0,0.01,0.0,0.01,0.07,0.04,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.02,0.35,0.38,0.17,0.42
11278,0.24,0.03,0.13,0.0,0.0,0.01,0.0,0.0,0.09,0.05,0.0,0.01,0.0,0.0,0.02,0.07,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.05,0.0,0.2,0.56,0.15,0.25
306074,0.19,0.0,0.1,0.0,0.02,0.01,0.0,0.0,0.02,0.02,0.0,0.01,0.0,0.0,0.02,0.06,0.11,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.34,0.37,0.23,0.39
234512,0.01,0.0,0.11,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.79,0.16,0.01,0.81
3016,0.06,0.01,0.06,0.0,0.01,0.0,0.02,0.01,0.05,0.1,0.0,0.01,0.0,0.01,0.06,0.2,0.12,0.01,0.01,0.0,0.0,0.0,0.01,0.03,0.03,0.02,0.0,0.16,0.33,0.45,0.21
2513,0.13,0.04,0.1,0.0,0.01,0.0,0.01,0.0,0.06,0.03,0.0,0.01,0.0,0.01,0.09,0.12,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.02,0.0,0.18,0.39,0.33,0.25
361279,0.07,0.02,0.11,0.0,0.01,0.0,0.0,0.0,0.07,0.04,0.0,0.01,0.0,0.01,0.03,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.01,0.0,0.43,0.33,0.16,0.48
2757,0.19,0.03,0.09,0.0,0.01,0.05,0.02,0.0,0.08,0.05,0.0,0.01,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.35,0.53,0.06,0.39
300700,0.17,0.02,0.09,0.0,0.01,0.01,0.01,0.0,0.04,0.03,0.0,0.01,0.0,0.0,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.44,0.39,0.1,0.49
246317,0.17,0.04,0.04,0.01,0.0,0.01,0.0,0.0,0.14,0.0,0.0,0.01,0.01,0.01,0.05,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.33,0.43,0.15,0.4
